name;year;director;pic_sm;pic_lg;trailer;description;;
Harry Potter y la piedra filosofal;2001;Chris Columbus;imagen-chica-1.jpg;imagen-grande-1.jpg;https://www.youtube.com/watch?v=uwM2oPGQMl4;Harry Potter y la piedra filosofal es una pel¡cula de fantas¡a y aventuras basada en el libro hom¢nimo de J. K. Rowling. Se convirti¢ en el primer lanzamiento en la serie cinematogr fica de Harry Potter. La historia sigue a Harry Potter, un ni¤o que al cumplir once a¤os descubre que es un mago, por lo cual es enviado al Colegio Hogwarts de Magia y Hechicer¡a para comenzar su entrenamiento como tal. El reparto estuvo integrado por Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Maggie Smith, Robbie Coltrane, Alan Rickman e Ian Hart.;;
Harry Potter y la c mara secreta;2002;Chris Columbus;imagen-chica-2.jpg;imagen-grande-2.jpg;https://www.youtube.com/watch?v=YDfRu37s0Us;Harry Potter y la c mara secreta es una pel¡cula de g‚nero fant stico, que constituye el segundo episodio en la saga de pel¡culas de Harry Potter.  La historia sigue el segundo a¤o de Harry Potter en Hogwarts, cuando el heredero de Salazar Slytherin abre la c mara secreta, liberando a un monstruo mort¡fero que petrifica a los alumnos del colegio. ;;
Harry Potter y el prisionero de Azkaban;2004;Alfonso Cuar¢n;imagen-chica-3.jpg;imagen-grande-3.jpg;https://www.youtube.com/watch?v=8qI-_TT56II;"Harry Potter y el prisionero de Azkaban es la tercera pel¡cula de la serie Harry Potter. El largometraje presta una mayor atenci¢n a la maduraci¢n psicol¢gica y sexual del tr¡o protagonista? y, seg£n la cr¡tica, presenta un tono m s oscuro? y acorde con la historia del fugitivo Sirius Black, supuesto ferviente servidor del hombre que dej¢ sin familia a Harry Potter. A pesar de los cambios de tono, continuidad y elenco, El prisionero de Azkaban es, hasta el momento, una de las pel¡culas de la serie que m s cr¡ticas positivas ha conseguido.? Adem s, la propia novelista declar¢ en su momento que ""El prisionero de Azkaban"" era su adaptaci¢n favorita hasta la fecha.";;
Harry Potter y el c liz de fuego;2005;Mike Newell;imagen-chica-4.jpg;imagen-grande-4.jpg;https://www.youtube.com/watch?v=b3ekxoeRz6o;Potter y el c liz de fuego es la cuarta pel¡cula basada en la famosa serie de novelas Harry Potter, escrita por J. K. Rowling. Esta pel¡cula fue la primera en recibir la clasificaci¢n PG-13 por contener escenas de violencia y terror, y obtuvo un r‚cord Guinness por ser el DVD que se ha vendido m s r pido. La historia sigue cuando Hogwarts se convierte en la sede del Torneo de los Tres Magos, una competencia en la que se enfrentan tres escuelas de magia europeas (Beauxbatons, Durmstrang y Hogwarts) y en la que un representante de cada escuela deber  completar tres pruebas durante todo el a¤o.;;
Harry Potter y la Orden del F‚nix;2007;David Yates;imagen-chica-5.jpg;imagen-grande-5.jpg;https://www.youtube.com/watch?v=s9CjnwAuaS8;"Harry Potter y la Orden del F‚nix es el quinto largometraje de la serie de pel¡culas Harry Potter, basada en la novela hom¢nima de la escritora brit nica J. K. Rowling. En esta ocasi¢n, el Ministerio de Magia se reh£sa a  creer que Voldemort ha reaparecido, pues teme esa situaci¢n y emprende una campa¤a de desprestigio contra Albus Dumbledore, Harry y todos los que sostienen lo contrario a la verdad oficial. Por lo que Albus Dumbledore crea la ""Orden del F‚nix"" tomando medidas protectoras contra lord Voldemort y tratando de convencer a Cornelius Fudge para que acepte verdad de que lord Voldemort ha vuelto.";;
Harry Potter y el misterio del pr¡ncipe;2009;David Yates;imagen-chica-6.jpg;imagen-grande-6.jpg;https://www.youtube.com/watch?v=Z1nzH6ijmh4;"Harry Potter y el misterio del pr¡ncipe es la sexta pel¡cula de la saga de Harry Potter. Situada entre los g‚neros de fantas¡a, drama y aventuras, la pel¡cula contin£a la historia del mago Harry Potter tras los eventos ocurridos en el largometraje anterior; el protagonista vuelve a su colegio para cursar su sexto a¤o en medio de atentados perpetrados por lord Voldemort y sus mort¡fagos que azotan Inglaterra. Debido a la creciente amenaza de Voldemort y los suyos, Albus Dumbledore decide impartir lecciones privadas a Harry y as¡ prepararlo para la confrontaci¢n final con el lado oscuro";;
Harry Potter y las reliquias de la Muerte: parte 1;2010;David Yates;imagen-chica-7.jpg;imagen-grande-7.jpg;https://www.youtube.com/watch?v=R89tYg4esOY;Harry Potter y las Reliquias de la Muerte: parte 1 es el primer episodio de la s‚ptima pel¡cula de Harry Potter, basado en la novela hom¢nima de J. K. Rowling. En esta primera parte Harry Potter, Hermione Granger y Ron Weasley se ven obligados a realizar un peligroso viaje lejos de los terrenos de Hogwarts, que los llevar  alrededor del pa¡s en busca de los restantes horrocruxes, objetos siniestros que contienen fragmentos del alma de lord Voldemort. Se supone que este ser¡a su £ltimo a¤o en Hogwarts, pero el colapso del Ministerio de Magia y el reciente ascenso de Voldemort al poder les impide asistir.;;
Harry Potter y las reliquias de la Muerte: parte 2;2011;David Yates;imagen-chica-8.jpg;imagen-grande-8.jpg;https://www.youtube.com/watch?v=yB9YvJ0a9aY;Harry Potter y las Reliquias de la Muerte: parte 2 es el segundo episodio de la s‚ptima pel¡cula de Harry Potter, basada en la novela hom¢nima de J. K. Rowling. En esta parte, tras varios meses en busca de Horrocruxes y escondi‚ndose de los mort¡fagos por Inglaterra, Harry, Ron y Hermione regresan al Colegio Hogwarts al descubrir la existencia de otra parte del alma de Voldemort, all¡ Harry descubre que todo lo sucedido desde que fue entregado a sus t¡os Dursley fue nada menos que un plan de Albus Dumbledore en donde cuidaba a Harry para su inminente final pensado y que la muerte de Albus Dumbledore fue planeado por el mismo Dumbledore y la verdadera rivalidad entre el padre de Harry (James Potter) y Severus Snape, pero en medio de su b£squeda de horrocruxes se desata la batalla final.;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
